id;formacao_ouvinte;origem_ouvinte;instituicao_ouvinte;laboratorio_ouvinte;data;mes;ano;palestra;palestrante;titulo;responsavel;nacionalidade;origem_palestrante;instituicao_palestrante;ppge;laboratorio_palestrante;formacao_palestrante;tema #1;horario;semana;local
145;Graduacao;IB;UFRJ;Vertebrados;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
90;Mestrado;PPGE;UFRJ;LEI;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
58;Professor;Dept Ecologia;UFRJ;Inseto-Planta;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
157;Mestrado;PPGE;UFRJ;Biodiv Marinha;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
78;Mestrado;PPGE;UFRJ;Inseto-Planta;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
215;Mestrado;PPGE;UFRJ;Peixes;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
166;Graduacao;IB;UFRJ;Limnologia;7;12;2016;11;Caryne Braga;Elementos da estrutura de metacomunidades - tendencias e perspectivas;Caryne Braga;Brasileiro;Interno;UFRJ;Sim;Vertebrados;PosDoc;Metacomunidades;16;Quarta;Salao Azul
150;PosDoc;PPGE;UFRJ;Vertebrados;9;11;2016;7;Nicholas Marino;Qual o efeito do aquecimento global nas interacoes consumidor-recurso;Nicholas Marino;Brasileiro;Interno;UFRJ;Sim;Limnologia;PosDoc;Interacoes Ecologicas;16;Quarta;Helio Fraga
98;PosDoc;PPGE;UFRJ;Vertebrados;9;11;2016;7;Nicholas Marino;Qual o efeito do aquecimento global nas interacoes consumidor-recurso;Nicholas Marino;Brasileiro;Interno;UFRJ;Sim;Limnologia;PosDoc;Interacoes Ecologicas;16;Quarta;Helio Fraga
222;PosDoc;PPGE;UFRJ;Vertebrados;9;11;2016;7;Nicholas Marino;Qual o efeito do aquecimento global nas interacoes consumidor-recurso;Nicholas Marino;Brasileiro;Interno;UFRJ;Sim;Limnologia;PosDoc;Interacoes Ecologicas;16;Quarta;Helio Fraga
164;Doutorado;PPGE;Jardim Botanico;Polinizacao;9;11;2016;7;Nicholas Marino;Qual o efeito do aquecimento global nas interacoes consumidor-recurso;Nicholas Marino;Brasileiro;Interno;UFRJ;Sim;Limnologia;PosDoc;Interacoes Ecologicas;16;Quarta;Helio Fraga
121;Doutorado;PPGE;UFRJ;Limnologia;9;11;2016;7;Nicholas Marino;Qual o efeito do aquecimento global nas interacoes consumidor-recurso;Nicholas Marino;Brasileiro;Interno;UFRJ;Sim;Limnologia;PosDoc;Interacoes Ecologicas;16;Quarta;Helio Fraga
